# Dataset file - Commit 150 File 3
id,timestamp,category,value,score
1,2026-03-03,user,4992,204495345300
2,2026-03-02,data,2365,155229613300
3,2026-03-01,api,6842,133442396200
4,2026-02-28,api,8523,41131104600
5,2026-02-27,data,2114,172245840300
6,2026-02-26,api,1633,128107337300
7,2026-02-25,ml,9499,168674701100
8,2026-02-24,data,7704,181024044400
9,2026-02-23,api,151,13571286400
10,2026-02-22,api,1910,204010511200
11,2026-02-21,data,7208,45792819500
12,2026-02-20,data,6918,12417582800
13,2026-02-19,api,5922,100444677600
14,2026-02-18,data,7114,98775980400
15,2026-02-17,data,3207,23128790700
16,2026-02-16,user,6447,116258696500
17,2026-02-15,api,298,43565794600
18,2026-02-14,data,4735,93645734100
19,2026-02-13,ml,1685,24470933200
20,2026-02-12,ml,1334,44634760200
21,2026-02-11,ml,8228,84964327400
22,2026-02-10,api,4490,3928945500
23,2026-02-09,data,5252,51165620600
24,2026-02-08,api,7583,71806571600
25,2026-02-07,ml,5583,22355127600
26,2026-02-06,ml,9097,19086194900
27,2026-02-05,data,9052,153447543000
28,2026-02-04,ml,3407,27277017800
29,2026-02-03,api,7709,189338662400
30,2026-02-02,api,9393,34513680400
31,2026-02-01,ml,3372,136551494600
32,2026-01-31,data,1805,15238862900
33,2026-01-30,data,7380,47599712500
34,2026-01-29,user,191,10360631600
35,2026-01-28,data,449,56866211500
36,2026-01-27,user,1918,214108301400
37,2026-01-26,ml,9358,56373820500
38,2026-01-25,api,4499,164453159000
39,2026-01-24,api,5317,49521964800
40,2026-01-23,ml,1727,199680262200
41,2026-01-22,ml,8628,160172139000
42,2026-01-21,api,8509,157047206500
43,2026-01-20,ml,8597,119983147300
44,2026-01-19,ml,4100,73400001100
45,2026-01-18,ml,7293,108153387300
46,2026-01-17,api,8760,7393012300
47,2026-01-16,api,9160,141014190300
48,2026-01-15,api,4325,106303217900
49,2026-01-14,api,7080,152479448900
50,2026-01-13,data,5053,165334933400
51,2026-01-12,ml,6572,62279715800
52,2026-01-11,data,4261,203631123500
53,2026-01-10,data,8561,62978867800
54,2026-01-09,data,4434,48542519700
55,2026-01-08,ml,5975,118574557200
56,2026-01-07,user,7277,25086076100
57,2026-01-06,data,3902,102425235200
58,2026-01-05,api,7685,132064810200
59,2026-01-04,data,838,105983362000
60,2026-01-03,data,4162,77630908500
61,2026-01-02,data,3200,108544387700
62,2026-01-01,user,8337,206237432400
63,2025-12-31,user,2289,40519266200
64,2025-12-30,ml,4746,61763864800
65,2025-12-29,api,9548,40602767100
66,2025-12-28,user,8240,93053076300
67,2025-12-27,user,7662,107703950900
68,2025-12-26,data,3857,23035097100
69,2025-12-25,ml,7934,81258227800
70,2025-12-24,ml,4366,30902672200
71,2025-12-23,user,2398,16635149600
72,2025-12-22,api,3683,5901784300
73,2025-12-21,data,7779,155470203100
74,2025-12-20,api,2749,181728930200
75,2025-12-19,user,8631,207928944700
76,2025-12-18,api,4492,164191525600
77,2025-12-17,ml,5584,65697732100
78,2025-12-16,ml,9951,55914063300
79,2025-12-15,user,2138,210169974300
80,2025-12-14,ml,6534,33005960100
81,2025-12-13,data,4371,30222947800
82,2025-12-12,data,641,76799158200
83,2025-12-11,ml,1397,99785738600
84,2025-12-10,data,6314,110288323700
85,2025-12-09,user,1040,93708867700
86,2025-12-08,data,1562,27966873500
87,2025-12-07,data,8432,206887114300
88,2025-12-06,ml,2654,81148591800
89,2025-12-05,ml,6308,50642396100
90,2025-12-04,user,1828,160623145000
91,2025-12-03,api,2328,140241115900
92,2025-12-02,data,5411,30315998600
93,2025-12-01,ml,4927,145588721000
94,2025-11-30,ml,2280,189390947100
95,2025-11-29,ml,3357,164327072700
96,2025-11-28,ml,8182,81671058500
97,2025-11-27,api,9180,19431808400
98,2025-11-26,data,5348,177017610000
99,2025-11-25,ml,8909,53279912900
100,2025-11-24,user,1195,7968360500
101,2025-11-23,api,3231,171190555300
102,2025-11-22,user,5502,195528606500
103,2025-11-21,ml,2438,144243402500
104,2025-11-20,ml,4796,199901441800
105,2025-11-19,user,7258,181785769000
106,2025-11-18,ml,8752,212711181100
107,2025-11-17,ml,9482,13184344000
108,2025-11-16,user,9678,7872389400
109,2025-11-15,user,5903,99034589800
110,2025-11-14,api,2465,112677727700
111,2025-11-13,ml,7846,30929997100
112,2025-11-12,ml,242,116846460500
113,2025-11-11,user,4879,193838499200
114,2025-11-10,user,3077,178061743900
115,2025-11-09,ml,2740,135546955000
116,2025-11-08,user,734,24592317900
117,2025-11-07,ml,9783,164486881000
118,2025-11-06,ml,192,121030697800
119,2025-11-05,api,541,62209579000
120,2025-11-04,data,4827,98859232000
121,2025-11-03,api,1580,151356795800
122,2025-11-02,data,737,11506941800
123,2025-11-01,api,7915,114946780300
124,2025-10-31,user,5616,166754943900
125,2025-10-30,ml,6396,59722630700
126,2025-10-29,user,8241,154051205000
127,2025-10-28,ml,9987,4143031400
128,2025-10-27,data,9877,136415079600
129,2025-10-26,user,8029,4145423500
130,2025-10-25,api,4208,129270748700
131,2025-10-24,user,3138,110867900300
132,2025-10-23,ml,1963,58370889200
133,2025-10-22,user,8066,211627190700
134,2025-10-21,api,9271,140735238600
135,2025-10-20,data,295,140751159200
136,2025-10-19,ml,3737,98671096600
137,2025-10-18,data,9200,52755186700
138,2025-10-17,user,3186,84840373700
139,2025-10-16,user,9451,104888296700
140,2025-10-15,user,6500,41274170900
141,2025-10-14,api,2663,146383330900
142,2025-10-13,data,8076,171496757100
143,2025-10-12,data,5294,103375045700
144,2025-10-11,data,9091,18412537800
145,2025-10-10,api,4928,3647470200
146,2025-10-09,ml,6012,28837077900
147,2025-10-08,ml,1187,67081787500
148,2025-10-07,data,3502,4037285900
149,2025-10-06,data,6372,95690375200
150,2025-10-05,api,8773,91817421500
151,2025-10-04,data,1296,50149111800
152,2025-10-03,user,4777,67433742600
153,2025-10-02,ml,1322,86649839100
154,2025-10-01,ml,6285,199257457200
155,2025-09-30,data,1769,121518890700
156,2025-09-29,api,9603,122455526500
157,2025-09-28,data,987,48164722600
158,2025-09-27,data,9395,149631880300
159,2025-09-26,data,7676,107884355900
160,2025-09-25,api,2311,38175796700
161,2025-09-24,user,2330,140458043100
162,2025-09-23,data,6913,66319906300
163,2025-09-22,api,6326,131412572600
164,2025-09-21,ml,7051,210211936800
165,2025-09-20,data,7963,144814978400
166,2025-09-19,user,1513,198225452600
